X	Y	K	pH	P
6	16	27.0	7.8	2.6
6	17	29.0	8.0	2.5
6	18	35.0	8.1	14.8
6	19	25.0	7.8	5.2
6	23	16.0	7.8	1.5
6	24	14.0	6.8	1.1
6	25	15.0	6.6	1.5
6	26	16.0	6.5	1.2
6	27	16.0	6.6	2.3
6	28	16.0	7.6	3.5
6	29	16.0	8.2	5.1
6	30	15.0	8.1	4.5
7	7	24.0	8.4	5.5
7	8	24.0	7.9	1.4
7	9	24.0	7.4	1.0
7	10	23.0	7.6	2.4
7	11	22.0	7.8	3.7
7	12	16.0	7.2	1.6
7	13	19.0	7.8	4.8
7	14	16.0	7.6	2.1
7	15	20.0	8.0	4.8
7	16	18.0	7.8	2.1
7	17	27.0	7.9	1.1
7	18	58.0	8.1	3.9
7	19	24.0	8.0	3.5
7	23	18.0	6.8	2.1
7	24	14.0	6.9	1.5
7	25	17.0	6.6	1.5
7	26	17.0	6.2	1.3
7	27	14.0	6.6	1.8
7	28	18.0	6.6	3.4
7	29	15.0	7.8	5.4
7	30	28.0	8.4	5.1
8	7	24.0	8.2	4.9
8	8	23.0	7.9	1.8
8	9	24.0	7.5	2.0
8	10	21.0	7.1	1.8
8	11	16.0	6.6	1.6
8	12	23.0	6.8	1.6
8	13	20.0	7.7	4.5
8	14	26.0	7.5	2.0
8	15	18.0	7.0	2.2
8	16	25.0	6.7	1.2
8	17	20.0	6.5	1.1
8	18	44.0	7.2	2.8
8	19	24.0	8.0	4.4
8	23	53.0	7.4	6.9
8	24	12.0	7.2	1.1
8	25	12.0	6.8	1.6
8	26	15.0	7.2	3.2
8	27	15.0	7.4	5.0
8	28	16.0	7.1	2.1
8	29	18.0	7.4	2.7
8	30	21.0	8.2	6.2
9	4	24.0	8.2	11.1
9	5	20.0	8.1	5.0
9	6	20.0	8.2	3.8
9	7	18.0	8.2	4.2
9	8	20.0	7.8	2.1
9	9	24.0	7.9	2.3
9	10	18.0	7.0	2.6
9	11	23.0	6.4	2.2
9	12	32.0	7.6	2.3
9	13	33.0	8.0	5.4
9	14	27.0	8.2	1.8
9	15	32.0	8.2	1.4
9	16	27.0	7.1	3.1
9	17	26.0	6.6	2.4
9	18	54.0	6.7	2.8
9	19	38.0	7.8	13.5
9	21	48.0	7.6	15.0
9	20	58.0	7.1	16.5
9	22	96.0	7.2	12.9
9	23	23.0	7.5	2.5
9	24	17.0	7.2	1.1
9	25	18.0	6.3	1.5
9	26	20.0	6.6	2.3
9	27	18.0	6.6	2.0
9	28	17.0	6.6	1.6
9	29	21.0	7.8	2.6
9	30	23.0	8.2	5.1
10	2	33.0	8.0	5.4
10	3	24.0	8.1	10.5
10	4	20.0	8.0	12.4
10	5	18.0	8.2	8.1
10	6	19.0	8.3	6.0
10	7	21.0	8.1	4.8
10	8	20.0	7.4	2.6
10	9	21.0	8.0	2.6
10	10	20.0	7.8	2.4
10	11	23.0	7.7	2.3
10	12	31.0	8.2	3.5
10	13	27.0	8.0	1.8
10	14	29.0	8.2	5.5
10	15	30.0	8.1	3.5
10	16	21.0	8.1	1.6
10	17	24.0	7.8	5.1
10	18	60.0	8.0	4.5
10	19	20.0	7.0	3.6
10	20	24.0	8.0	3.4
10	21	30.0	7.6	6.0
10	22	32.0	7.4	6.4
10	23	29.0	7.2	3.1
10	24	25.0	7.0	2.2
10	25	21.0	7.3	2.9
10	26	28.0	6.2	2.5
10	27	35.0	5.9	1.6
10	28	20.0	7.4	3.1
10	29	21.0	7.8	2.9
10	30	24.0	8.2	4.6
11	2	36.0	8.0	5.5
11	3	29.0	8.2	29.1
11	4	24.0	8.2	24.0
11	5	26.0	8.2	14.4
11	6	22.0	8.2	9.0
11	7	20.0	8.1	6.1
11	8	20.0	7.8	2.7
11	9	23.0	7.8	2.9
11	10	24.0	7.4	2.4
11	11	26.0	7.7	2.2
11	12	30.0	8.1	0.9
11	13	42.0	7.9	2.9
11	14	38.0	8.2	6.3
11	15	42.0	8.2	2.8
11	16	38.0	8.1	1.6
11	17	40.0	8.2	2.6
11	18	38.0	8.2	6.8
11	19	25.0	8.0	4.1
11	20	24.0	7.2	5.2
11	21	34.0	8.0	6.9
11	22	25.0	7.4	6.0
11	23	20.0	7.4	3.6
11	24	21.0	6.5	1.6
11	25	22.0	6.4	1.6
11	26	25.0	6.6	2.2
11	27	20.0	6.4	2.1
11	28	27.0	6.1	2.0
11	29	27.0	8.1	3.8
11	30	19.0	8.3	4.2
12	2	32.0	8.0	32.9
12	3	27.0	8.1	35.0
12	4	28.0	8.2	27.0
12	5	23.0	8.1	17.1
12	6	22.0	8.2	8.4
12	7	20.0	8.0	6.0
12	8	21.0	8.3	2.4
12	9	23.0	8.0	2.7
12	10	24.0	7.8	2.3
12	11	20.0	8.0	2.6
12	12	29.0	8.0	1.1
12	13	42.0	8.0	1.0
12	14	36.0	8.3	4.5
12	15	42.0	8.2	1.3
12	16	37.0	8.1	1.4
12	17	33.0	8.3	4.5
12	18	35.0	8.0	3.0
12	19	32.0	8.2	3.6
12	20	30.0	8.0	12.1
12	21	27.0	7.9	1.2
12	22	27.0	6.7	3.9
12	23	19.0	7.8	2.5
12	24	21.0	7.1	2.9
12	25	32.0	6.3	2.1
12	26	30.0	5.9	1.7
12	27	27.0	6.0	1.0
12	28	27.0	6.8	1.8
12	29	28.0	8.2	3.5
12	30	20.0	8.3	3.6
13	2	38.0	8.0	30.0
13	3	26.0	8.1	49.0
13	4	24.0	8.0	32.4
13	5	28.0	8.3	4.0
13	6	28.0	8.4	1.2
13	7	27.0	8.3	3.0
13	8	29.0	8.3	1.4
13	9	27.0	8.3	4.2
13	10	33.0	8.1	1.2
13	11	36.0	8.1	1.6
13	12	27.0	8.1	5.4
13	13	24.0	8.0	2.1
13	14	27.0	8.4	3.1
13	15	33.0	8.2	1.6
13	16	40.0	8.1	3.3
13	17	41.0	8.1	4.8
13	18	36.0	7.5	3.1
13	19	24.0	8.0	2.9
13	20	25.0	7.1	6.8
13	21	24.0	6.6	2.9
13	22	28.0	7.8	5.3
13	23	26.0	7.8	5.1
13	24	25.0	7.8	7.5
13	25	20.0	7.9	7.5
13	26	23.0	7.9	6.3
13	27	22.0	7.8	5.4
13	28	32.0	8.0	6.0
13	29	29.0	8.3	3.4
13	30	19.0	8.4	3.8
14	2	54.0	7.9	25.3
14	3	42.0	8.0	21.0
14	4	41.0	8.1	19.2
14	5	37.0	8.4	2.2
14	6	35.0	8.4	1.5
14	7	33.0	8.1	1.0
14	8	39.0	8.3	1.1
14	9	53.0	8.3	2.0
14	10	42.0	7.8	1.9
14	11	28.0	7.9	1.5
14	12	27.0	8.0	2.2
14	13	26.0	8.0	1.0
14	14	26.0	8.5	4.2
14	15	42.0	8.5	4.5
14	16	38.0	8.1	6.9
14	17	36.0	8.0	7.5
14	18	31.0	7.8	3.6
14	20	20.0	7.0	3.1
14	21	26.0	6.9	3.0
14	22	26.0	7.9	5.2
14	23	23.0	8.0	6.1
14	24	28.0	7.9	6.4
14	25	20.0	8.0	10.6
14	26	19.0	8.0	6.0
14	27	24.0	8.2	8.7
14	28	34.0	7.7	5.2
14	29	29.0	8.4	3.5
14	30	18.0	8.5	2.0
15	2	41.0	8.2	12.0
15	3	30.0	8.1	7.2
15	4	30.0	8.0	8.9
15	5	35.0	8.3	2.2
15	6	33.0	8.3	1.3
15	7	26.0	8.3	0.7
15	8	27.0	8.2	3.2
15	9	41.0	8.3	1.5
15	10	33.0	8.0	0.8
15	11	36.0	8.0	1.2
15	12	27.0	8.1	2.7
15	13	28.0	8.0	2.1
15	14	32.0	8.4	6.6
15	15	39.0	8.3	5.4
15	16	39.0	8.1	5.4
15	17	39.0	8.0	8.1
15	18	27.0	8.1	4.3
15	20	20.0	6.0	4.7
15	21	26.0	6.2	2.1
15	22	28.0	8.0	8.0
15	23	23.0	8.0	9.0
15	24	27.0	7.9	9.8
15	25	24.0	7.8	8.1
15	26	32.0	8.0	14.0
15	27	32.0	8.0	11.1
15	28	44.0	7.5	20.4
15	29	28.0	8.5	3.8
15	30	18.0	8.4	3.2
16	3	39.0	8.2	4.7
16	4	38.0	8.2	5.8
16	5	32.0	8.2	2.5
16	6	30.0	8.2	0.7
16	7	28.0	8.3	0.7
16	8	28.0	8.4	1.0
16	9	35.0	8.4	2.2
16	10	28.0	8.2	1.2
16	11	24.0	8.0	1.6
16	12	29.0	7.9	2.9
16	13	26.0	8.2	2.5
16	14	31.0	8.4	10.5
16	15	31.0	8.3	10.2
16	16	36.0	8.2	5.4
16	17	34.0	8.1	5.3
16	18	31.0	8.1	5.0
16	20	24.0	5.8	3.1
16	21	25.0	6.2	2.5
16	22	31.0	7.8	7.2
16	23	26.0	8.0	6.8
16	24	25.0	7.8	2.3
16	25	35.0	7.5	11.4
16	26	31.0	8.0	12.0
16	27	28.0	7.9	7.8
16	28	25.0	8.0	8.1
16	29	24.0	8.5	3.8
16	30	19.0	8.4	3.6
17	3	38.0	8.2	3.2
17	4	41.0	8.2	2.6
17	5	30.0	8.2	1.8
17	6	28.0	8.2	0.9
17	7	39.0	8.3	1.1
17	8	33.0	8.4	2.3
17	9	29.0	8.3	3.6
17	10	25.0	8.2	0.9
17	11	38.0	8.0	4.3
17	12	23.0	8.0	3.4
17	13	26.0	8.1	2.5
17	14	28.0	8.4	12.5
17	15	29.0	8.2	12.0
17	16	38.0	8.1	5.1
17	17	38.0	8.2	7.2
17	18	28.0	6.8	3.0
17	20	24.0	6.0	4.2
17	21	25.0	6.2	2.7
17	22	28.0	7.6	6.1
17	23	24.0	7.8	4.6
17	24	29.0	8.0	6.1
17	25	19.0	7.8	8.4
17	26	22.0	8.0	7.5
17	27	29.0	8.0	6.0
17	28	39.0	7.8	7.5
17	29	24.0	8.4	3.2
18	3	39.0	7.9	12.1
18	4	38.0	8.2	8.7
18	5	36.0	8.2	4.7
18	6	33.0	8.2	2.2
18	7	28.0	8.4	2.9
18	8	27.0	8.4	3.6
18	9	26.0	8.2	4.2
18	10	28.0	8.2	3.0
18	11	31.0	8.1	6.6
18	12	29.0	7.9	6.3
18	13	24.0	8.0	7.2
18	14	29.0	8.4	13.5
18	15	30.0	8.0	5.7
18	16	35.0	8.3	9.1
18	18	38.0	7.6	7.5
18	20	29.0	6.1	2.0
18	21	30.0	6.8	6.0
18	22	23.0	8.2	6.4
18	23	23.0	7.6	5.1
18	24	29.0	8.1	6.8
18	25	29.0	7.9	9.0
18	26	23.0	7.9	7.5
18	27	20.0	8.0	6.6
18	28	38.0	7.9	6.0
18	29	36.0	8.6	5.4
